,videoId,channelTitle,publishedAt,channelId,title,description,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
39,CHkOgDKTuNo,オーイシ加藤のピザラジオ,2020-01-13T04:12:13Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】バカが分かる！負けると超悔しいゲーム【クアルト】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,326093,3499,123,0,521
40,GuOEOyCDQoQ,ためにならない!!,2020-09-24T08:27:09Z,UCpj29wrH9rPRiBAZQSHjgCg,自作ボードゲーム,,321234,11160,176,0,1035
41,8JEWLZfj8fQ,QuizKnock会議中【サブチャンネル】,2018-12-14T12:26:00Z,UCdvci38aZHC_5qKPyL8BPcA,ウルトラクイズのボードゲームを貰ったのでやってみるよ。,途中からガチになって声小さすぎになるクイズプレイヤー達。 ◇QuizKnockメインチャンネルはこちら https://www.youtube.com/channel/UCQ_MqAw18jFTlBB-f8BP7dw ...,316774,6890,37,0,548
42,9qfrUTt-hos,ジャニーズJr.チャンネル,2020-06-13T11:00:06Z,UC1cHlPIE-kqiPvpyYz2O8rQ,美 少年【トマトは好き？】リモートでも盛上りのボードゲーム,YouTubeをご覧のみなさまゲーム大好き「美 少年」です。 いつも動画視聴ありがとうございます。 今回は、「トマトマト」というボードゲームで遊んでみました。 リモートだから、 ...,312737,,,0,1933
43,2GMEvebrusc,オーイシ加藤のピザラジオ,2020-01-18T05:10:04Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】人間不信になる 本気の騙し合いゲーム【ガイスター】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,290520,2365,76,0,396
44,giUch-ZI_Mw,オーイシ加藤のピザラジオ,2020-01-30T10:05:52Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】YESかNOで推理！超盛り上がるワード当てゲーム【アテッコ #1】,アテッコ #2 https://youtu.be/qtNbHqgeIhw JELLY JELLY CAFE - 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ ...,291569,2806,78,0,972
45,gLPIRI4Gp9E,オモコロチャンネル,2019-11-19T09:00:13Z,UCOx-oLP9tOhiYwSK_m-yVxA,【仲間割れ注意】『ニャーメンズ』は友情が破壊されるボードゲームだった,ニャーメンズ - 購入はこちら →https://amzn.to/3gvNjbC - 特設サイト →https://magi-mals.com - 公式Twitter →https://twitter.com/magimals 【チャンネル登録はこちらから ...,285224,4567,68,0,570
46,dDhPihE25rM,志麻ちゃんねる,2019-01-30T12:46:04Z,UCDIWpMZKXTng4mT4eMF5oTA,ボードゲームライフを歌ってみた　ver志麻,人生は常にボードゲームの上で繰り広げられている。 本家様：https://www.nicovideo.jp/watch/sm34546386 Music : buzzG https://twitter.com/buzz_g Lyrics : ねじ式 ...,281486,13359,25,0,767
47,QhUsTx8DPVw,マフィア梶田と中村悠一の「わしゃがなTV」,2020-07-09T09:00:07Z,UCReBAqqC-hc9d70gOftfitg,【ボードゲームアリーナ】神の一手しか打たない【頭脳戦】,フリー“なんでも”ライターのマフィア梶田と声優の中村悠一がお送りするラジオみたいな動画番組。構成作家に「ポプテピピック」でおなじみの漫画家・大川ぶくぶを迎え，様々 ...,279307,5214,70,0,255
48,Jy0cKdjMpLA,オーイシ加藤のピザラジオ,2019-09-29T06:00:12Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】オセロを超える面白さ!? 新感覚対戦ゲーム【NOCCA × NOCCA】,【NOCCA × NOCCA（ノッカノッカ）】 https://www.youtube.com/watch?v=cFHHPKp1Tao コマは前後左右斜めへ、1マス移動させることができる 相手のコマの上に置くこと ...,265976,2039,76,0,366
49,QI3tAMeg1TI,カジサックの小部屋,2020-06-05T09:00:09Z,UCdEpbrlHoqnUGMRy2LICtRw,【ボードゲーム】かんちゃん せんちゃんと対決,メインチャンネルはこちら https://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA 吉本興業所属のキングコング梶原が、新米Youtuberカジサックとなって ...,258717,5468,108,0,584
50,WjWIazn746c,オモコロチャンネル,2019-10-25T09:00:10Z,UCOx-oLP9tOhiYwSK_m-yVxA,【ボードゲーム】かわいいのにブラック労働で殺伐とする『まじかる☆ベーカリー』やってみた,まじかる☆ベーカリー - Amazon購入ページ →https://amzn.to/2uaHISg - 公式Twitter →https://twitter.com/magicalbakerybg - シリーズ公式サイト ...,255146,4208,113,0,568
51,QqOuuB31Sxc,水溜りボンド,2020-10-09T12:06:03Z,UCpOjLndjOqMoffA-fr8cbKA,【Twitterで話題】道路に飛び込む仲間のカニたちを助けるボードゲームがヤバすぎたwww,話題のカニのゲームを紹介されたアカウントさんはこちらです！！ https://twitter.com/BANANATOYS_877?s=09 ※サムネイルの画像の使用許可もありがとうございました ...,247891,6097,181,0,629
52,Qh7EtYD80kY,夕闇に誘いし漆黒の天使達,2017-12-27T11:00:02Z,UC169FIKMFQKr1n65N3UcQag,【死のゲーム】古くから伝わる伝説のボードゲームがヤバすぎた…,ウボンゴ(ubongo) http://amzn.asia/jcVbLrr 最後、死に至ります。お気をつけて。 チャンネル登録はこちらから ...,244563,5340,51,0,598
53,a3j0crqP4Rg,オモコロチャンネル,2019-07-12T09:00:00Z,UCOx-oLP9tOhiYwSK_m-yVxA,連想力が試される！？ 大人気ボードゲーム「コードネーム」がおもしろい！！,【チャンネル登録はこちらから！】 http://www.youtube.com/channel/UCOx-oLP9tOhiYwSK_m-yVxA?sub_confirmation=1 オモコロ https://omocoro.jp/ Twitter ...,243558,4003,64,0,365
54,h7LP96HM6qM,積分サークル,2020-06-30T10:00:42Z,UC82NEkDVsBe6nAPTgR8yy7w,【第2回】阪大生のボードゲーム大会！！〜JUST ONE〜,3被りはある意味仲良いでしょ() お仕事のご依頼等は sekibuncircledx[@]gmail.com にお願いします。([@]の[]は除いて下さい。) Twitterアカウント キム： ...,243243,5230,53,0,500
55,xDkWZSYUJLA,fusiage,2012-02-18T14:48:39Z,UCTKQHIJqdqeQOe4aM72SCSw,逃走中 THEボードゲーム を遊んでみた　[Mission.02],「通報部隊のルール説明」の元ネタが分かる人は割とコアなクロノス脳だと思う。 ちなみに、自分はこれの直前に行われたとあるゲームで0点というスコアを記録しました。,241838,231,24,0,18
56,c3Oh-5LudLs,オーイシ加藤のピザラジオ,2019-06-22T09:14:33Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】湧き出るゾンビから生還せよ！【ゾンビキッズ】,『ゾンビキッズ：進化の封印』公式紹介動画 https://www.youtube.com/watch?v=2EFxi7ANfIM ボードゲーム店 すごろくや https://sugorokuya.jp/ 「オーイシ✕加藤の ...,239668,2088,77,0,285
57,fARdxVWRB-c,オーイシ加藤のピザラジオ,2020-08-22T08:30:20Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】覚悟を決めた奴が勝つ！究極のブラフゲーム【スカル】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,238943,3587,95,0,840
58,CbNL-F8Msfo,オーイシ加藤のピザラジオ,2020-05-02T09:45:43Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】超もどかしい！価値観共有ゲーム【ito】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,238949,3142,69,0,653
